year_x,iso3_o_x,iso3_d_x,Exports,gmt_offset_2020_o_x,gmt_offset_2020_d_x,lndist_x,dist_x,contig_x,comlang_off_x,comlang_ethno_x,comcol_x,col45_x,asean,aifta,international,gdp_o_x,gdp_d_x,tradeflow_comtrade_o_x,tradeflow_comtrade_d_x,tradeflow_imf_o_x,tradeflow_imf_d_x,sum_tf
2020,CHL,USA,9785698.845,4,5,9.01,8220,0,0,1,0,0,0,0,1,252727193.7,20893743833,9578298.139,10816055.77,9698201,10113336,20394353.91
2020,CHL,VNM,231403.166,4,7,9.77,17475,0,0,0,0,0,0,0,1,252727193.7,343242570.8,231274.935,265330.329,231274.938,264899.156,496605.264
2020,CHL,ZAF,107464.0726,4,2,9.13,9192,0,0,0,0,0,0,0,1,252727193.7,335442101.4,111845.342,122651.04,111845.359,126449.727,234496.382
2020,CHN,ARE,32310092.21,8,4,8.77,6430,0,0,0,0,0,0,0,1,14687673893,358868765.2,32307069.33,39367768.77,32342898,39372576,71674838.1
2020,CHN,AUS,53468167.17,8,10,8.99,8024,0,0,0,0,0,0,0,1,14687673893,1327836171,53481292.9,61050570.58,53509148,62013668,114531863.5
2020,CHN,BRN,466218.267,8,8,8.00,2988,0,0,0,0,0,0,0,1,14687673893,12005825.77,466146.456,577195.943,483126.812,575304.062,1043342.399
2020,CHN,CAN,42094313.39,8,5,9.34,11441,0,0,0,0,0,0,0,1,14687673893,1645423408,42108890.72,56984380.27,42126460,60276948,99093270.99
2020,CHN,CHL,15336289.7,8,4,9.84,18861,0,0,0,0,0,0,0,1,14687673893,252727193.7,15338907.21,16458957.5,15343395,16458977,31797864.71
2020,CHN,CHN,,8,8,7.06,1163,0,0,0,0,0,0,0,0,14687673893,14687673893,,125163131.2,,,125163131.2
2020,CHN,COL,9320163.033,8,5,9.66,15713,0,0,0,0,0,0,0,1,14687673893,270299982.9,9320562,10398866.37,9322761,10398882,19719428.37
2020,CHN,DEU,86807061.05,8,1,9.04,8415,0,0,0,0,0,0,0,1,14687673893,3846413929,86822578.71,134914132.7,86997608,93717552,221736711.4
2020,CHN,FRA,37335184.95,8,1,9.14,9284,0,0,0,0,0,0,0,1,14687673893,2630317731,37342531.82,41150103.22,37272088,41111524,78492635.04
2020,CHN,IDN,40980976.64,8,7,8.40,4425,0,0,0,0,0,0,0,1,14687673893,1058688935,41004367.66,39620435.88,41060800,39634700,80624803.54
2020,CHN,IND,66719471.59,8,5.5,8.36,4252,1,0,0,0,0,0,0,1,14687673893,2667687952,66726980.54,58798824.65,66779536,58700608,125525805.2
2020,CHN,JPN,142596624.7,8,9,7.47,1763,0,0,0,0,0,0,0,1,14687673893,5040107754,142635615.8,163838391.7,142721936,163919888,306474007.5
2020,CHN,KHM,8054487.482,8,7,7.92,2763,0,0,0,0,0,0,0,1,14687673893,25872798.01,8057023.997,7098205.441,8080293,7098205.5,15155229.44
2020,CHN,KOR,112476215.9,8,9,6.77,867,0,0,0,0,0,0,0,1,14687673893,1637895803,112443105.9,108790994.1,113028968,108855272,221234100
2020,CHN,LAO,1491277.597,8,7,7.78,2402,1,0,0,0,0,0,0,1,14687673893,18981800.71,1494702.199,,1497753.125,1645221.75,1494702.199
2020,CHN,LKA,3842700.338,8,5.5,8.54,5091,0,0,0,0,0,0,0,1,14687673893,80969683.54,3842836.734,3581771.356,3845567.5,3581771.5,7424608.09
2020,CHN,MMR,12547510.39,8,6.5,8.01,3017,1,0,0,0,0,0,0,1,14687673893,78930257.23,12550827.77,6527808.253,12560565,6527870,19078636.02
2020,CHN,MYS,56300820.69,8,8,8.23,3737,0,1,1,0,0,0,0,1,14687673893,337006023.8,56422172.2,40808661.99,56930192,40924060,97230834.19
2020,CHN,NZL,6052987.515,8,12,9.14,9361,0,0,0,0,0,0,0,1,14687673893,211734532.3,6055976.745,8368419.759,6070408.5,8394039,14424396.5
2020,CHN,PAK,15357592.99,8,5,8.58,5339,1,0,0,0,0,0,0,1,14687673893,300306331.7,15366711.07,12486525.38,15380701,12477182,27853236.45
2020,CHN,PHL,41880388.82,8,8,7.52,1841,0,0,0,0,0,0,0,1,14687673893,361751116.3,41828221.73,20954800.64,42003520,20396850,62783022.37
2020,CHN,RUS,50504392.05,8,3,8.83,6831,1,0,0,0,0,0,0,1,14687673893,1488321875,50584508.37,54913416.56,50608368,54908220,105497924.9
2020,CHN,SGP,57624786.43,8,8,8.24,3797,0,1,1,0,0,0,0,1,14687673893,345295933.9,57350139.26,46925317.19,58021968,37802132,104275456.5
2020,CHN,THA,50513175.95,8,7,7.97,2887,0,0,0,0,0,0,0,1,14687673893,499681757,50500655.01,49824166.91,50616960,50159556,100324821.9
2020,CHN,USA,452492876.3,8,5,9.38,11883,0,0,0,0,0,0,0,1,14687673893,20893743833,452575960.6,457163343.8,452832224,435449024,909739304.4
2020,CHN,VNM,113815239.4,8,7,7.91,2732,1,0,0,0,0,0,0,1,14687673893,343242570.8,113810457.7,84192639.97,114157128,84374272,198003097.7
2020,CHN,ZAF,15238825.62,8,2,9.37,11775,0,0,0,0,0,0,0,1,14687673893,335442101.4,15243393.52,14309266.57,15259950,15132418,29552660.09
